,Player Name,Year,Total Carries,*Fantasy Points*
0,Ameer Abdullah,2016,143.0,26.8
1,Ameer Abdullah,2017,161.0,126.4
2,Ameer Abdullah,2018,326.0,5.9
3,Ameer Abdullah,2019,327.0,41.3
4,Ameer Abdullah,2020,350.0,30.0
5,Ameer Abdullah,2021,358.0,89.5
6,Ameer Abdullah,2022,409.0,54.1
7,Salvon Ahmed,2021,75.0,38.6
8,Salvon Ahmed,2022,129.0,14.2
9,Jay Ajayi,2016,49.0,217.3
10,Jay Ajayi,2017,309.0,139.10000000000002
11,Jay Ajayi,2018,517.0,43.400000000000006
12,Jay Ajayi,2019,562.0,3.0
13,Cam Akers,2021,145.0,4.3
14,Cam Akers,2022,150.0,145.3
15,Javorius Allen,2016,137.0,7.9
16,Javorius Allen,2017,146.0,166.1
17,Javorius Allen,2018,299.0,95.6
18,Javorius Allen,2019,340.0,11.5
19,C.J. Anderson,2014,7.0,211.3
20,C.J. Anderson,2015,186.0,145.3
21,C.J. Anderson,2016,338.0,102.5
22,C.J. Anderson,2017,448.0,175.10000000000002
23,C.J. Anderson,2018,693.0,67.4
24,C.J. Anderson,2019,760.0,4.3
25,Cameron Artis-Payne,2016,45.0,28.5
26,Cameron Artis-Payne,2017,81.0,16.7
27,Cameron Artis-Payne,2018,99.0,17.4
28,Peyton Barber,2017,55.0,87.7
29,Peyton Barber,2018,163.0,152.3
30,Peyton Barber,2019,397.0,116.5
31,Peyton Barber,2020,551.0,55.0
32,Peyton Barber,2021,645.0,49.900000000000006
33,Saquon Barkley,2019,261.0,244.1
34,Saquon Barkley,2020,478.0,15.4
35,Saquon Barkley,2021,497.0,150.60000000000002
36,Saquon Barkley,2022,659.0,282.0
37,Kenjon Barner,2015,6.0,23.6
38,Kenjon Barner,2016,34.0,34.099999999999994
39,Kenjon Barner,2017,61.0,22.3
40,Kenjon Barner,2018,77.0,8.4
41,Kenjon Barner,2019,96.0,11.12
42,Kenjon Barner,2020,100.0,0.0
43,Kenjon Barner,2021,100.0,0.0
44,Le'Veon Bell,2014,244.0,370.5
45,Le'Veon Bell,2015,534.0,111.2
46,Le'Veon Bell,2016,647.0,317.4
47,Le'Veon Bell,2017,908.0,345.6
48,Le'Veon Bell,2019,1229.0,215.0
49,Le'Veon Bell,2020,1474.0,74.60000000000001
50,Le'Veon Bell,2021,1556.0,36.1
51,Giovani Bernard,2014,170.0,187.9
52,Giovani Bernard,2015,338.0,181.2
53,Giovani Bernard,2016,492.0,124.3
54,Giovani Bernard,2017,583.0,151.70000000000002
55,Giovani Bernard,2018,688.0,95.9
56,Giovani Bernard,2019,744.0,70.4
57,Giovani Bernard,2020,797.0,160.1
58,Giovani Bernard,2021,921.0,59.1
59,Giovani Bernard,2022,929.0,4.7
60,Kapri Bibbs,2016,0.0,28.4
61,Kapri Bibbs,2017,29.0,40.7
62,Kapri Bibbs,2018,50.0,61.8
63,LeGarrette Blount,2011,201.0,137.9
64,LeGarrette Blount,2012,385.0,28.3
65,LeGarrette Blount,2013,426.0,125.0
66,LeGarrette Blount,2014,579.0,100.1
67,LeGarrette Blount,2015,704.0,122.6
68,LeGarrette Blount,2016,869.0,234.90000000000003
69,LeGarrette Blount,2017,1168.0,107.6
70,LeGarrette Blount,2018,1341.0,88.50000000000001
71,Alfred Blue,2015,169.0,113.7
72,Alfred Blue,2016,352.0,64.0
73,Alfred Blue,2017,452.0,44.6
74,Alfred Blue,2018,523.0,97.3
75,Brandon Bolden,2013,56.0,81.30000000000001
76,Brandon Bolden,2014,111.0,17.7
77,Brandon Bolden,2015,139.0,69.7
78,Brandon Bolden,2016,202.0,3.9
79,Brandon Bolden,2017,203.0,8.4
80,Brandon Bolden,2018,216.0,31.4
81,Brandon Bolden,2019,224.0,50.900000000000006
82,Brandon Bolden,2021,239.0,122.1
83,Brandon Bolden,2022,283.0,27.3
84,Reggie Bonnafon,2020,16.0,16.7
85,Reggie Bonnafon,2021,28.0,3.6
86,Reggie Bonnafon,2022,29.0,0.8
87,Devontae Booker,2017,174.0,93.4
88,Devontae Booker,2018,253.0,89.8
89,Devontae Booker,2019,287.0,12.6
90,Devontae Booker,2020,289.0,85.7
91,Devontae Booker,2021,382.0,144.10000000000002
92,Mike Boone,2019,11.0,50.0
93,Mike Boone,2020,60.0,14.9
94,Mike Boone,2021,71.0,7.7
95,Mike Boone,2022,75.0,28.800000000000004
96,Matt Breida,2018,105.0,164.5
97,Matt Breida,2019,258.0,105.3
98,Matt Breida,2020,381.0,44.0
99,Matt Breida,2021,440.0,44.7
100,Matt Breida,2022,466.0,59.8
101,Gary Brightwell,2022,1.0,29.0
102,Malcolm Brown,2016,4.0,11.5
103,Malcolm Brown,2017,22.0,44.900000000000006
104,Malcolm Brown,2018,85.0,37.400000000000006
105,Malcolm Brown,2019,128.0,59.1
106,Malcolm Brown,2020,197.0,111.1
107,Malcolm Brown,2021,298.0,22.5
108,Malcolm Brown,2022,331.0,22.8
109,Spencer Brown,2022,0.0,7.3
110,Rex Burkhead,2014,0.0,20.6
111,Rex Burkhead,2015,9.0,25.8
112,Rex Burkhead,2016,13.0,77.9
113,Rex Burkhead,2017,87.0,129.8
114,Rex Burkhead,2018,151.0,51.7
115,Rex Burkhead,2019,208.0,103.1
116,Rex Burkhead,2020,273.0,107.6
117,Rex Burkhead,2021,340.0,104.3
118,Rex Burkhead,2022,462.0,71.4
119,Michael Burton,2016,4.0,0.0
120,Michael Burton,2017,4.0,3.7
121,Michael Burton,2018,8.0,1.6
122,Michael Burton,2019,8.0,0.0
123,Michael Burton,2020,8.0,8.600000000000001
124,Michael Burton,2021,15.0,14.7
125,Michael Burton,2022,23.0,3.8
126,Travaris Cadet,2013,1.0,8.5
127,Travaris Cadet,2014,1.0,76.8
128,Travaris Cadet,2015,11.0,47.2
129,Travaris Cadet,2016,22.0,94.0
130,Travaris Cadet,2017,26.0,37.5
131,Travaris Cadet,2018,49.0,3.2
132,Chris Carson,2018,49.0,205.40000000000003
133,Chris Carson,2019,296.0,240.6
134,Chris Carson,2020,574.0,187.8
135,Chris Carson,2021,715.0,50.1
136,Michael Carter,2022,147.0,128.0
137,Jamaal Charles,2009,67.0,229.7
138,Jamaal Charles,2010,257.0,286.5
139,Jamaal Charles,2011,487.0,20.200000000000003
140,Jamaal Charles,2012,499.0,245.5
141,Jamaal Charles,2013,784.0,382.0
142,Jamaal Charles,2014,1043.0,256.4
143,Jamaal Charles,2015,1249.0,105.1
144,Jamaal Charles,2016,1320.0,13.4
145,Jamaal Charles,2017,1332.0,71.5
146,Jamaal Charles,2018,1401.0,3.4000000000000004
147,Nick Chubb,2019,192.0,261.2
148,Nick Chubb,2020,490.0,209.7
149,Nick Chubb,2021,680.0,217.3
150,Nick Chubb,2022,908.0,281.4
151,Corey Clement,2018,74.0,79.10000000000001
152,Corey Clement,2019,142.0,0.0
153,Corey Clement,2020,142.0,21.0
154,Corey Clement,2021,163.0,28.9
155,Corey Clement,2022,196.0,21.9
156,Tarik Cohen,2018,87.0,241.94
157,Tarik Cohen,2019,186.0,163.89999999999998
158,Tarik Cohen,2020,250.0,17.5
159,Tevin Coleman,2016,87.0,191.1
160,Tevin Coleman,2017,205.0,167.70000000000002
161,Tevin Coleman,2018,361.0,193.6
162,Tevin Coleman,2019,528.0,135.4
163,Tevin Coleman,2020,665.0,12.7
164,Tevin Coleman,2021,693.0,51.5
165,Tevin Coleman,2022,777.0,22.0
166,Alex Collins,2017,31.0,175.0
167,Alex Collins,2018,243.0,114.6
168,Alex Collins,2020,357.0,21.1
169,Alex Collins,2021,375.0,70.80000000000001
170,James Conner,2018,32.0,280.0
171,James Conner,2019,247.0,147.5
172,James Conner,2020,363.0,164.60000000000002
173,James Conner,2021,532.0,257.7
174,James Conner,2022,734.0,202.2
175,Dalvin Cook,2018,74.0,156.0
176,Dalvin Cook,2019,207.0,296.4
177,Dalvin Cook,2020,457.0,337.80000000000007
178,Dalvin Cook,2021,769.0,208.3
179,Dalvin Cook,2022,1018.0,245.8
180,Isaiah Crowell,2015,148.0,137.8
181,Isaiah Crowell,2016,333.0,209.1
182,Isaiah Crowell,2017,531.0,143.5
183,Isaiah Crowell,2018,737.0,140.7
184,Benny Cunningham,2014,47.0,128.8
185,Benny Cunningham,2015,113.0,65.0
186,Benny Cunningham,2016,150.0,35.2
187,Benny Cunningham,2017,171.0,58.9
188,Benny Cunningham,2018,180.0,3.9
189,DeeJay Dallas,2021,34.0,60.1
190,DeeJay Dallas,2022,67.0,46.2
191,Orleans Darkwa,2015,9.0,27.4
192,Orleans Darkwa,2016,45.0,26.3
193,Orleans Darkwa,2017,75.0,135.70000000000002
194,Mike Davis,2016,35.0,16.5
195,Mike Davis,2017,54.0,52.1
196,Mike Davis,2018,122.0,136.8
197,Mike Davis,2019,234.0,11.9
198,Mike Davis,2020,247.0,208.5
199,Mike Davis,2021,412.0,144.20000000000002
200,Mike Davis,2022,550.0,4.2
201,Justin Davis,2018,1.0,1.9
202,AJ Dillon,2021,46.0,187.6
203,AJ Dillon,2022,233.0,167.6
204,J.K. Dobbins,2022,134.0,81.2
205,Kenyan Drake,2017,33.0,144.3
206,Kenyan Drake,2018,166.0,208.2
207,Kenyan Drake,2019,286.0,214.2
208,Kenyan Drake,2020,456.0,194.2
209,Kenyan Drake,2021,695.0,102.5
210,Kenyan Drake,2022,758.0,104.1
211,Lance Dunbar,2013,21.0,27.9
212,Lance Dunbar,2014,51.0,49.6
213,Lance Dunbar,2015,80.0,49.2
214,Lance Dunbar,2016,85.0,37.3
215,Lance Dunbar,2017,94.0,12.2
216,Chase Edmonds,2019,60.0,82.8
217,Chase Edmonds,2020,120.0,168.0
218,Chase Edmonds,2021,217.0,145.3
219,Chase Edmonds,2022,333.0,74.2
220,Trey Edmunds,2018,9.0,0.0
221,Trey Edmunds,2019,9.0,20.0
222,Trey Edmunds,2020,31.0,0.0
223,Trey Edmunds,2021,31.0,0.0
224,Gus Edwards,2019,137.0,94.6
225,Gus Edwards,2020,270.0,130.2
226,Gus Edwards,2022,414.0,61.3
227,Clyde Edwards-Helaire,2021,181.0,119.6
228,Clyde Edwards-Helaire,2022,300.0,98.3
229,Austin Ekeler,2018,47.0,170.8
230,Austin Ekeler,2019,153.0,313.0
231,Austin Ekeler,2020,285.0,165.3
232,Austin Ekeler,2021,401.0,345.8
233,Austin Ekeler,2022,607.0,378.7
234,Andre Ellington,2014,118.0,181.5
235,Andre Ellington,2015,319.0,76.7
236,Andre Ellington,2016,364.0,30.1
237,Andre Ellington,2017,398.0,87.4
238,Ezekiel Elliott,2017,322.0,205.2
239,Ezekiel Elliott,2018,564.0,331.1
240,Ezekiel Elliott,2019,868.0,315.70000000000005
241,Ezekiel Elliott,2020,1169.0,231.7
242,Ezekiel Elliott,2021,1413.0,248.06
243,Ezekiel Elliott,2022,1650.0,185.8
244,Tyler Ervin,2017,1.0,13.0
245,Tyler Ervin,2018,5.0,6.5
246,Tyler Ervin,2019,5.0,4.1
247,Tyler Ervin,2020,6.0,26.1
248,Chris Evans,2022,17.0,12.8
249,Darrynton Evans,2021,14.0,3.8
250,Darrynton Evans,2022,16.0,10.7
251,Demetric Felton,2022,7.0,2.4
252,Josh Ferguson,2017,15.0,5.1
253,Josh Ferguson,2019,16.0,0.9
254,David Fluellen,2018,4.0,1.6
255,David Fluellen,2019,8.0,0.0
256,D'Onta Foreman,2018,78.0,10.7
257,D'Onta Foreman,2020,85.0,17.0
258,D'Onta Foreman,2021,107.0,95.9
259,D'Onta Foreman,2022,240.0,129.0
260,Matt Forte,2009,316.0,221.0
261,Matt Forte,2010,574.0,266.6
262,Matt Forte,2011,811.0,224.7
263,Matt Forte,2012,1014.0,223.4
264,Matt Forte,2013,1262.0,339.3
265,Matt Forte,2014,1551.0,346.6
266,Matt Forte,2015,1817.0,214.7
267,Matt Forte,2016,2035.0,185.6
268,Matt Forte,2017,2253.0,122.4
269,Leonard Fournette,2018,268.0,120.4
270,Leonard Fournette,2019,401.0,261.4
271,Leonard Fournette,2020,666.0,132.0
272,Leonard Fournette,2021,763.0,255.6
273,Leonard Fournette,2022,943.0,226.1
274,Jalston Fowler,2016,7.0,2.7
275,Jalston Fowler,2017,8.0,6.4
276,Royce Freeman,2019,130.0,142.2
277,Royce Freeman,2020,262.0,37.1
278,Royce Freeman,2021,297.0,34.6
279,Royce Freeman,2022,353.0,21.0
280,Devonta Freeman,2015,65.0,320.40000000000003
281,Devonta Freeman,2016,330.0,286.1
282,Devonta Freeman,2017,557.0,202.2
283,Devonta Freeman,2018,753.0,14.1
284,Devonta Freeman,2019,767.0,201.6
285,Devonta Freeman,2020,951.0,36.0
286,Devonta Freeman,2021,1005.0,146.6
287,Kenneth Gainwell,2022,68.0,87.9
288,Wayne Gallman,2018,111.0,46.5
289,Wayne Gallman,2019,162.0,50.2
